Date,Price,Open,High,Low,Vol.,Change %
Jul 03 2018,971.30,965.00,978.45,960.35,5.07,0.01
Jul 02 2018,960.60,972.35,972.35,957.00,6.66,-0.01
Jun 29 2018,972.45,949.10,975.50,949.00,7.97,0.03
Jun 28 2018,944.95,962.00,968.50,940.30,8.58,-0.02
Jun 27 2018,965.85,978.50,985.40,962.70,8.96,-0.01
Jun 26 2018,978.95,1006.00,1006.00,975.25,8.07,-0.03
Jun 25 2018,1004.45,1011.40,1016.50,1002.30,5.20,-0.01
Jun 22 2018,1012.50,1028.40,1029.20,1008.45,16.17,-0.02
Jun 21 2018,1031.95,1023.45,1036.00,1021.30,10.51,0.01
Jun 20 2018,1019.25,996.00,1022.90,994.85,7.19,0.02
Jun 19 2018,996.05,1013.90,1014.80,993.65,6.35,-0.02
Jun 18 2018,1015.55,1008.80,1020.45,1007.00,5.65,0.00
Jun 15 2018,1014.20,1006.00,1023.50,999.25,11.29,0.01
Jun 14 2018,1007.95,997.45,1011.80,987.40,5.48,0.01
Jun 13 2018,1002.50,1000.00,1005.90,989.50,5.93,0.01
Jun 12 2018,997.15,983.40,1000.00,980.30,7.45,0.01
Jun 11 2018,982.65,987.10,999.95,979.05,6.87,0.00
Jun 08 2018,984.35,966.35,986.55,960.60,6.53,0.01
Jun 07 2018,971.35,954.90,976.00,954.45,6.86,0.02
Jun 06 2018,954.40,947.00,956.00,942.65,4.19,0.01
Jun 05 2018,947.65,942.80,955.00,941.00,7.97,0.01
Jun 04 2018,940.85,933.40,944.00,930.55,5.60,0.01
Jun 01 2018,930.55,920.00,935.75,918.45,8.77,0.01
ay 31 2018,921.35,921.00,922.30,914.55,16.95,0.01
ay 30 2018,916.10,914.85,923.20,906.60,5.99,0.00
ay 29 2018,917.45,921.50,928.00,914.40,8.17,0.00
ay 28 2018,920.40,924.90,927.00,918.10,5.20,0.00
ay 25 2018,920.80,916.00,923.40,914.45,8.13,0.01
ay 24 2018,915.85,914.00,921.00,910.15,5.32,0.00
ay 23 2018,912.25,926.00,926.00,909.15,4.57,-0.02
ay 22 2018,926.75,933.15,934.00,925.00,5.17,0.00
ay 21 2018,931.35,930.75,935.70,922.10,6.62,0.00
ay 18 2018,933.85,945.60,953.50,932.00,5.23,-0.01
ay 17 2018,945.35,959.35,960.00,941.50,4.73,-0.01
ay 16 2018,956.15,974.00,974.00,952.45,8.61,-0.02
ay 15 2018,978.95,983.05,1000.00,976.65,4.80,-0.01
ay 14 2018,986.60,991.95,991.95,976.70,2.58,0.00
ay 11 2018,989.25,981.25,991.30,977.75,4.01,0.01
ay 10 2018,981.15,980.00,984.60,974.25,4.01,0.00
ay 09 2018,976.70,965.90,984.30,962.25,4.49,0.01
ay 08 2018,967.10,977.50,982.00,965.20,4.93,0.00
ay 07 2018,971.00,958.85,973.25,956.35,3.51,0.02
ay 04 2018,953.95,962.85,964.70,950.00,3.80,-0.01
ay 03 2018,961.60,977.90,977.90,959.25,3.95,-0.01
ay 02 2018,972.70,967.00,979.20,965.05,6.12,0.01
Apr 30 2018,963.30,982.00,992.60,960.00,8.87,-0.03
Apr 27 2018,996.30,989.80,1011.00,985.50,11.67,0.02
Apr 26 2018,975.35,973.00,988.00,962.25,15.59,0.01
Apr 25 2018,970.50,973.65,981.80,963.55,6.44,0.00
Apr 24 2018,970.05,935.80,975.70,935.00,9.11,0.04
Apr 23 2018,936.00,930.00,944.35,928.50,3.51,0.01
Apr 20 2018,927.90,938.00,941.85,921.20,3.35,-0.02
Apr 19 2018,942.30,939.10,945.00,935.00,4.48,0.00
